model,solved,release_date
aion-1.0,0,2025-06-10
cogito-v2.1-671b,0,2025-11-19
cogito-v2.1-671b-high,0,2025-05-15
deepcoder-14b,0,2025-04-08
deepseek-prover-v2,0,2025-04-28
deepseek-r1,0,2025-01-20
deepseek-v3,0,2024-12-26
deepseek-v3-0324,0,2025-03-25
gemini-2.0-flash,0,2025-02-05
gemini-2.0-pro-exp-02-05,0,2025-02-05
gemini-2.5-pro-preview-03-25,0,2025-03-25
gemini-2.5-pro-preview-05-06,0,2025-05-06
gemini3-flash-preview,0,2025-12-17
gemini3-pro-preview,0,2025-11-18
gemma3,0,2025-03-12
glm-4.5-air,0,2025-07-28
glm-4.7,0,2025-12-22
gpt-4.1,0,2025-04-14
gpt-4.1-mini,0,2025-04-14
gpt-4.1-nano,0,2025-04-14
gpt-4.5-preview,0,2025-02-27
gpt-4o,0,2024-05-13
gpt-4o-mini,0,2024-07-18
gpt-5-2025-08-07,0,2025-08-07
gpt-5-2025-08-07-high,0,2025-08-07
gpt-5-codex,0,2025-09-15
gpt-5-codex-high,0,2025-09-15
gpt-5-mini-2025-08-07,0,2025-08-07
gpt-5-mini-2025-08-07-high,0,2025-08-07
gpt-5-nano-2025-08-07,0,2025-08-07
gpt-5-nano-2025-08-07-high,0,2025-08-07
gpt-5.2-low,0,2025-12-11
gpt-5.2-nr,0,2025-12-11
gpt-5.2-pro-medium,0,2025-12-11
gpt-oss-120b-or,0,2025-06-15
gpt-oss-20b-mxfp4-mlx,0,2025-08-05
grok-2,0,2024-08-13
grok-3-beta,0,2025-02-17
grok-3-mini-beta,0,2025-02-17
grok-4-1-fast,0,2025-09-19
haiku-3-5-1022,0,2024-10-22
haiku-4-5-32k-stream,0,2025-10-15
hunyuan-t1,0,2025-06-06
jamba-1.6-large,0,2025-03-20
k2-0905-fp8-fw,0,2025-09-04
k2-thinking,0,2025-11-06
lfm-40b,0,2024-09-17
llama-3.1-405b,0,2024-07-23
llama-3.1-tulu-3-405b,0,2024-11-22
llama-3.2-90b-vision,0,2024-09-25
llama-3.3-70b,0,2024-12-06
llama4-maverick,0,2025-04-05
llama4-scout,0,2025-04-05
mercury-coder-small-beta,0,2025-02-28
minimax-01,0,2025-01-15
mistral-small-3.1-24b,0,2025-03-18
mixtral-8x7b,0,2023-12-11
o1,0,2024-12-05
o1-mini,0,2024-09-12
o3,0,2025-04-16
o3-mini,0,2025-01-31
o4-mini,0,2025-04-16
olmo-2,0,2025-02-01
opus-3,0,2024-03-04
opus-4-5-32k-stream,0,2025-11-24
phi-4,0,2024-12-12
prime-intellect-3,0,2025-07-10
quasar,0,2025-06-01
qwen-2.5-72b-instruct,0,2024-09-19
qwen-2.5-coder-14b-q8,0,2024-11-12
qwen-2.5-coder-32b,0,2024-11-12
qwen-2.5-coder-7b,0,2024-11-12
qwen3-1.7b,0,2025-04-29
qwen3-14b,0,2025-04-29
qwen3-235b,0,2025-04-29
qwen3-30b-a3b,0,2025-04-29
qwen3-32b,0,2025-04-29
qwen3-4b,0,2025-04-29
qwen3-8b,0,2025-04-29
qwen3-coder-480b-ov,0,2025-07-23
qwen3-next-80b-a3b-instruct,0,2025-09-11
qwen3-next-80b-a3b-thinking,0,2025-09-11
qwerky-72b,0,2025-02-10
qwq-32b,0,2025-03-06
r1-32b,0,2025-01-20
r1-70b,0,2025-01-20
r1-qwen-14b,0,2025-01-20
sonnet-3-5-1022,0,2024-10-22
sonnet-3-7-0219,0,2025-02-24
sonnet-3-7-0219-32k,0,2025-02-24
sonnet-4-5-32k-stream,0,2025-09-29
